student_id,skills,experience_years,course_grades,projects_completed,extracurriculars,job_offer
1,Python,3,75.26,9,0,1
1,Data Analysis,3,75.26,9,0,1
1,SQL,3,75.26,9,0,1
2,Java,4,74.25,6,2,1
3,Data Analysis,2,74.89,4,3,0
4,Data Analysis,4,72.73,2,3,1
5,Machine Learning,4,84.85,1,4,0
5,Python,4,84.85,1,4,0
5,C++,4,84.85,1,4,0
6,Python,1,66.57,7,3,1
7,Java,2,93.84,1,3,0
8,Machine Learning,2,92.5,7,2,0
9,Python,2,79.06,4,1,0
9,Machine Learning,2,79.06,4,1,0
9,Java,2,79.06,4,1,0
10,Data Analysis,4,94.11,8,3,1
10,Machine Learning,4,94.11,8,3,1
10,C++,4,94.11,8,3,1
11,C++,3,69.89,3,1,0
12,SQL,2,60.7,7,0,0
12,Python,2,60.7,7,0,0
12,Java,2,60.7,7,0,0
13,C++,5,84.77,6,3,0
13,SQL,5,84.77,6,3,0
13,Machine Learning,5,84.77,6,3,0
14,Java,4,78.32,7,0,0
15,Python,1,82.69,4,0,1
15,Data Analysis,1,82.69,4,0,1
16,Python,3,95.97,1,4,1
16,SQL,3,95.97,1,4,1
17,Machine Learning,5,98.8,6,1,0
17,SQL,5,98.8,6,1,0
18,Data Analysis,5,85.38,2,1,1
19,Machine Learning,1,90.56,9,4,1
19,Python,1,90.56,9,4,1
20,Python,3,63.35,9,2,0
20,Machine Learning,3,63.35,9,2,0
21,Data Analysis,4,66.43,9,4,0
21,Machine Learning,4,66.43,9,4,0
22,Machine Learning,0,89.33,9,4,1
22,Java,0,89.33,9,4,1
23,Python,3,77.25,1,4,1
23,Data Analysis,3,77.25,1,4,1
23,Java,3,77.25,1,4,1
24,Python,1,77.84,2,0,1
24,Java,1,77.84,2,0,1
25,C++,5,72.34,3,1,1
26,C++,4,84.29,9,2,1
26,SQL,4,84.29,9,2,1
27,SQL,3,67.41,6,3,1
28,Java,0,85.08,9,3,0
28,SQL,0,85.08,9,3,0
29,Data Analysis,0,66.95,0,3,1
29,Python,0,66.95,0,3,1
29,Java,0,66.95,0,3,1
30,Data Analysis,2,62.55,5,2,0
30,Java,2,62.55,5,2,0
30,Machine Learning,2,62.55,5,2,0
31,C++,2,73.21,5,3,0
31,SQL,2,73.21,5,3,0
32,Data Analysis,1,69.25,7,2,1
32,Machine Learning,1,69.25,7,2,1
32,Java,1,69.25,7,2,1
33,SQL,3,95.56,1,3,1
33,Python,3,95.56,1,3,1
33,Java,3,95.56,1,3,1
34,SQL,3,62.2,1,3,0
35,SQL,5,67.06,0,2,1
35,Python,5,67.06,0,2,1
36,Machine Learning,5,81.95,2,1,1
37,SQL,5,79.24,6,2,0
37,Java,5,79.24,6,2,0
37,C++,5,79.24,6,2,0
38,Data Analysis,2,61.83,7,2,1
38,C++,2,61.83,7,2,1
39,SQL,3,60.29,6,4,0
40,Java,3,99.52,8,0,0
41,Machine Learning,0,86.35,7,0,1
41,Data Analysis,0,86.35,7,0,1
41,SQL,0,86.35,7,0,1
42,Machine Learning,2,74.62,7,1,0
42,C++,2,74.62,7,1,0
42,Data Analysis,2,74.62,7,1,0
43,Java,4,78.82,1,1,0
43,Data Analysis,4,78.82,1,1,0
44,C++,2,70.66,0,1,0
44,Python,2,70.66,0,1,0
44,Machine Learning,2,70.66,0,1,0
45,Java,4,73.79,5,0,1
46,Java,0,85.96,6,1,1
46,C++,0,85.96,6,1,1
46,Python,0,85.96,6,1,1
47,C++,1,95.31,5,1,1
47,Machine Learning,1,95.31,5,1,1
48,Machine Learning,3,67.37,6,2,1
48,SQL,3,67.37,6,2,1
49,Python,0,93.61,7,2,0
49,Data Analysis,0,93.61,7,2,0
49,SQL,0,93.61,7,2,0
50,SQL,3,64.86,1,0,0
50,Python,3,64.86,1,0,0
50,Data Analysis,3,64.86,1,0,0
51,Java,5,68.6,0,2,1
51,C++,5,68.6,0,2,1
52,Data Analysis,1,61.49,9,1,0
53,SQL,1,65.63,7,2,0
53,Machine Learning,1,65.63,7,2,0
53,Java,1,65.63,7,2,0
54,Python,0,96.69,7,4,1
54,SQL,0,96.69,7,4,1
54,Java,0,96.69,7,4,1
55,SQL,1,78.38,7,2,1
56,Machine Learning,4,63.11,9,0,1
57,Python,1,98.39,6,1,0
57,Machine Learning,1,98.39,6,1,0
57,SQL,1,98.39,6,1,0
58,Python,3,95.16,1,1,1
58,Data Analysis,3,95.16,1,1,1
59,SQL,3,90.19,3,0,1
59,Java,3,90.19,3,0,1
60,Java,3,97.34,8,2,0
61,Python,3,68.81,7,1,1
61,Data Analysis,3,68.81,7,1,1
61,C++,3,68.81,7,1,1
62,Machine Learning,4,93.45,3,1,1
63,Java,2,87.6,7,4,0
64,C++,5,94.79,9,0,1
64,Machine Learning,5,94.79,9,0,1
64,Java,5,94.79,9,0,1
65,Machine Learning,0,91.88,5,2,1
65,Data Analysis,0,91.88,5,2,1
66,Java,3,73.86,8,2,0
66,Machine Learning,3,73.86,8,2,0
67,Data Analysis,1,90.98,0,1,1
67,Java,1,90.98,0,1,1
67,SQL,1,90.98,0,1,1
68,Data Analysis,3,70.5,5,3,1
68,SQL,3,70.5,5,3,1
69,Machine Learning,1,73.14,3,4,0
69,C++,1,73.14,3,4,0
70,Java,5,64.32,2,4,0
71,Python,5,97.4,4,4,1
72,Python,5,71.64,9,1,0
72,Machine Learning,5,71.64,9,1,0
73,Java,1,80.82,7,0,0
73,Machine Learning,1,80.82,7,0,0
73,Data Analysis,1,80.82,7,0,0
74,Python,3,75.65,9,0,1
75,Data Analysis,5,98.4,5,4,0
75,Python,5,98.4,5,4,0
75,Java,5,98.4,5,4,0
76,Python,4,73.4,0,3,1
77,Python,1,91.14,5,3,1
77,Machine Learning,1,91.14,5,3,1
78,SQL,1,94.22,6,2,0
79,C++,3,77.42,5,3,0
79,Java,3,77.42,5,3,0
79,Machine Learning,3,77.42,5,3,0
80,Machine Learning,1,75.13,2,4,0
80,Data Analysis,1,75.13,2,4,0
80,C++,1,75.13,2,4,0
81,C++,1,89.91,8,2,1
82,Java,5,96.52,9,4,0
82,Python,5,96.52,9,4,0
83,Data Analysis,3,90.2,9,0,1
84,SQL,5,69.09,3,4,0
84,C++,5,69.09,3,4,0
85,C++,5,95.53,4,2,1
85,Python,5,95.53,4,2,1
86,Data Analysis,3,75.5,4,4,1
86,Python,3,75.5,4,4,1
86,Machine Learning,3,75.5,4,4,1
87,Data Analysis,0,83.05,2,1,0
87,SQL,0,83.05,2,1,0
88,Java,5,93.26,1,2,1
89,Java,4,67.54,7,3,1
90,C++,4,91.38,6,0,1
90,Java,4,91.38,6,0,1
90,Data Analysis,4,91.38,6,0,1
91,SQL,1,83.85,4,3,0
92,Java,4,95.73,0,4,0
92,Python,4,95.73,0,4,0
93,Machine Learning,1,66.88,9,3,0
93,Python,1,66.88,9,3,0
94,Data Analysis,0,76.83,0,2,0
95,Python,3,93.31,7,1,0
95,Data Analysis,3,93.31,7,1,0
95,Java,3,93.31,7,1,0
96,C++,3,60.77,3,3,0
97,C++,3,64.49,3,4,0
97,Java,3,64.49,3,4,0
98,Python,4,99.62,8,3,1
98,Java,4,99.62,8,3,1
99,Python,0,71.22,1,3,1
99,C++,0,71.22,1,3,1
100,C++,4,99.02,4,2,0
100,SQL,4,99.02,4,2,0
101,Data Analysis,4,67.3,5,4,1
101,Machine Learning,4,67.3,5,4,1
102,Data Analysis,0,74.44,5,4,0
102,C++,0,74.44,5,4,0
102,Java,0,74.44,5,4,0
103,SQL,0,90.11,9,1,1
104,Python,0,86.31,2,2,0
105,Data Analysis,0,83.24,9,2,1
105,Machine Learning,0,83.24,9,2,1
105,Python,0,83.24,9,2,1
106,SQL,3,81.2,5,0,1
106,Python,3,81.2,5,0,1
106,Machine Learning,3,81.2,5,0,1
107,C++,2,93.74,9,1,1
107,Machine Learning,2,93.74,9,1,1
107,Java,2,93.74,9,1,1
108,Machine Learning,2,69.4,9,1,0
109,Java,0,77.7,4,4,0
110,Machine Learning,2,66.22,7,4,1
111,Data Analysis,2,83.84,3,1,1
112,C++,0,70.02,9,2,1
113,Machine Learning,2,73.35,9,0,0
114,Machine Learning,4,78.85,2,4,0
115,Python,1,61.07,5,0,0
115,Machine Learning,1,61.07,5,0,0
115,Data Analysis,1,61.07,5,0,0
116,Data Analysis,1,63.68,9,1,0
116,Machine Learning,1,63.68,9,1,0
117,Machine Learning,0,87.44,8,2,1
117,SQL,0,87.44,8,2,1
117,Data Analysis,0,87.44,8,2,1
118,Data Analysis,3,77.16,7,0,0
119,SQL,0,94.59,9,3,1
119,Java,0,94.59,9,3,1
119,Data Analysis,0,94.59,9,3,1
120,Java,3,87.79,7,1,1
120,SQL,3,87.79,7,1,1
121,SQL,1,60.32,2,2,0
121,Python,1,60.32,2,2,0
122,C++,0,84.67,0,1,0
123,Machine Learning,5,63.75,2,1,0
123,Python,5,63.75,2,1,0
123,Data Analysis,5,63.75,2,1,0
124,Java,4,91.24,2,0,0
124,Machine Learning,4,91.24,2,0,0
124,SQL,4,91.24,2,0,0
125,SQL,2,99.66,5,0,0
126,Java,3,81.25,2,3,1
127,SQL,5,87.31,1,4,1
127,Java,5,87.31,1,4,1
128,Machine Learning,2,69.49,8,3,0
128,SQL,2,69.49,8,3,0
129,Data Analysis,2,77.5,5,2,1
129,Machine Learning,2,77.5,5,2,1
129,Python,2,77.5,5,2,1
130,Machine Learning,0,94.24,4,2,1
130,SQL,0,94.24,4,2,1
130,Python,0,94.24,4,2,1
131,SQL,2,66.7,2,1,0
132,Python,4,70.62,6,0,1
133,Machine Learning,5,77.82,6,1,1
133,Java,5,77.82,6,1,1
133,SQL,5,77.82,6,1,1
134,Machine Learning,2,88.49,3,4,1
134,Java,2,88.49,3,4,1
135,SQL,0,75.04,9,1,0
135,Java,0,75.04,9,1,0
135,Data Analysis,0,75.04,9,1,0
136,C++,4,97.11,1,2,0
136,SQL,4,97.11,1,2,0
136,Python,4,97.11,1,2,0
137,Data Analysis,1,63.78,1,2,1
138,SQL,5,74.83,7,3,0
138,Python,5,74.83,7,3,0
139,SQL,2,88.36,3,1,1
140,Data Analysis,0,69.04,6,0,1
141,Java,1,86.26,2,4,0
141,C++,1,86.26,2,4,0
142,Data Analysis,1,66.57,8,4,0
142,C++,1,66.57,8,4,0
142,Python,1,66.57,8,4,0
143,Python,3,62.24,9,0,0
144,Java,4,64.84,8,4,1
144,Machine Learning,4,64.84,8,4,1
144,Python,4,64.84,8,4,1
145,Machine Learning,2,97.2,6,0,0
145,Data Analysis,2,97.2,6,0,0
146,C++,0,82.07,6,0,1
147,Python,3,91.85,0,3,0
148,SQL,4,73.31,9,1,0
148,Python,4,73.31,9,1,0
149,Java,3,83.71,7,2,0
149,Data Analysis,3,83.71,7,2,0
150,Python,5,79.8,1,2,0
150,SQL,5,79.8,1,2,0
150,C++,5,79.8,1,2,0
151,Data Analysis,4,97.83,7,1,1
151,Java,4,97.83,7,1,1
151,Machine Learning,4,97.83,7,1,1
152,Java,4,89.9,1,4,0
153,Python,2,89.22,0,0,1
153,Java,2,89.22,0,0,1
154,SQL,4,61.85,7,2,1
154,C++,4,61.85,7,2,1
154,Java,4,61.85,7,2,1
155,Java,3,81.99,3,3,0
155,Python,3,81.99,3,3,0
156,Python,4,78.68,9,4,1
156,C++,4,78.68,9,4,1
157,Java,2,97.11,5,3,1
158,SQL,2,70.29,9,2,1
158,Data Analysis,2,70.29,9,2,1
159,Java,5,70.79,9,1,0
160,Data Analysis,3,76.45,0,1,0
161,C++,1,69.73,8,3,0
162,SQL,1,65.17,6,4,0
162,Python,1,65.17,6,4,0
163,SQL,4,94.3,4,2,1
163,Machine Learning,4,94.3,4,2,1
164,Data Analysis,5,82.33,5,0,1
164,Machine Learning,5,82.33,5,0,1
165,Python,0,94.45,2,1,0
165,Data Analysis,0,94.45,2,1,0
166,Java,4,93.25,8,3,1
166,Machine Learning,4,93.25,8,3,1
167,Python,5,71.28,1,2,1
167,Data Analysis,5,71.28,1,2,1
168,C++,3,81.91,9,4,1
168,SQL,3,81.91,9,4,1
168,Machine Learning,3,81.91,9,4,1
169,Machine Learning,3,63.33,0,0,0
169,Data Analysis,3,63.33,0,0,0
170,C++,3,96.61,0,0,1
171,Java,3,76.17,9,1,0
171,SQL,3,76.17,9,1,0
171,Python,3,76.17,9,1,0
172,C++,3,75.75,1,0,0
172,Python,3,75.75,1,0,0
172,Java,3,75.75,1,0,0
